plantID,datetimeRecorded,leafTemp,ambientTemp,soilMoisture,redStrength,greenStrength,blueStrength,lightnessStrength,greenMagentaStrength,blueYellowStrength,hueStrength,saturationStrength,valueStrength
1,2021-07-27 17:48:32,22.87,24.17,1014.0,89.845764,135.61897,69.07139,131.46739,100.11596,158.20152,51.177917,136.75644,135.87495
2,2021-07-27 17:52:29,23.23,25.49,1010.0,84.87169,120.94365,62.828114,117.64027,105.125946,155.05406,45.68402,136.10625,122.036125
4,2021-07-27 17:52:45,25.67,25.87,725.0,83.52055,111.90652,59.62204,110.252205,108.82095,153.18309,41.720253,131.51118,114.60575
3,2021-07-27 17:56:48,24.57,25.89,1014.0,88.88152,121.47621,59.69809,119.72232,105.27091,157.65623,46.79597,143.43254,122.1901
2,2021-07-27 18:22:59,23.21,24.77,1005.0,87.09631,125.052505,66.22543,122.41649,104.0853,155.52914,47.442352,131.57672,126.314095
4,2021-07-27 18:23:13,25.29,25.41,722.0,79.32241,114.10748,63.55194,112.254005,106.43293,151.8697,47.23933,127.04337,116.359375
1,2021-07-27 19:19:32,22.93,24.01,1015.0,90.34279,137.41881,76.519905,133.71677,100.24955,155.43997,54.303032,123.78779,137.43951
4,2021-07-27 19:24:01,24.87,24.91,708.0,78.69122,111.98142,60.964245,110.19332,106.980484,152.2362,45.26804,127.951614,114.436455
2,2021-07-27 19:24:16,23.29,24.59,993.0,88.63856,123.4541,63.64418,120.969826,105.196846,156.25536,45.443043,134.54286,125.10874
5,2021-07-27 19:25:26,23.71,24.39,1007.0,89.94906,134.00256,69.65401,130.47002,100.752075,157.54504,50.719154,131.68579,134.19704
6,2021-07-27 19:25:59,22.99,23.93,970.0,83.70606,119.65614,65.75717,118.21544,105.48012,153.77711,54.612717,133.07301,123.77009
3,2021-07-27 19:28:52,24.05,25.23,1005.0,77.8664,112.21407,58.68189,110.77234,105.61744,153.67195,51.757687,139.01624,113.60379
1,2021-07-27 20:20:05,22.87,23.81,1010.0,76.07817,110.777145,74.93524,110.4567,108.337906,144.15007,60.448032,108.38337,110.788994
4,2021-07-27 20:24:32,24.23,24.37,699.0,45.269005,62.673634,35.728683,61.82734,115.157555,142.2686,50.594307,118.14672,62.674217
2,2021-07-27 20:25:01,23.11,24.13,993.0,70.23738,92.13002,52.82457,92.0052,111.93893,147.65175,48.729538,109.607216,92.13054
5,2021-07-27 20:26:00,23.35,23.81,1007.0,59.242023,83.44242,48.99458,83.09746,111.75345,145.12292,53.01528,117.42702,83.45069
6,2021-07-27 20:26:29,22.81,23.55,947.0,60.28609,74.05469,40.34383,74.37183,115.93273,146.02959,47.316917,124.39379,77.35763
3,2021-07-27 20:29:34,23.81,24.77,972.0,48.263077,64.72015,33.41086,63.988632,114.97834,144.64645,47.71702,125.44652,64.72113
1,2021-07-27 20:50:20,22.89,23.79,1014.0,73.59318,99.58042,54.288357,99.735504,109.38922,150.44186,48.187862,115.246796,99.58042
4,2021-07-27 20:54:47,24.09,24.17,714.0,41.4466,56.25247,31.191515,55.105034,116.387985,141.60594,49.06863,117.985344,56.252995
2,2021-07-27 20:55:17,23.17,24.03,989.0,64.00714,80.19683,47.211155,81.08851,114.962296,145.2683,45.64728,105.24614,80.19683
5,2021-07-27 20:56:15,23.15,23.67,1003.0,56.71719,75.40112,40.44407,75.29131,113.59692,146.22887,47.460552,119.260284,75.40397
6,2021-07-27 20:56:44,22.83,23.57,941.0,55.75207,68.44657,37.365013,68.42211,116.56902,144.8731,46.37143,120.58877,70.90041
1,2021-07-27 23:51:56,22.53,23.47,1009.0,81.32325,104.026886,61.094967,104.70361,111.191444,149.21536,47.342594,103.02386,104.026886
4,2021-07-27 23:56:14,23.59,23.67,611.0,44.060154,57.47736,29.528086,56.61932,116.57669,143.426,45.089966,125.39731,57.482285
2,2021-07-27 23:57:01,22.93,23.71,993.0,68.067184,84.01073,50.500233,85.36581,115.02572,145.50299,45.08378,101.51621,84.01073
5,2021-07-27 23:57:42,22.81,23.25,1009.0,54.966225,70.7119,37.307293,70.80184,114.924225,145.93086,44.88558,120.973206,70.714424
6,2021-07-27 23:58:12,22.51,23.05,964.0,52.819103,64.7181,34.650764,64.51703,116.9457,144.59811,44.50829,123.12561,66.37896
1,2021-07-28 00:22:12,22.71,23.53,1014.0,87.993225,111.740715,63.457848,112.08611,110.19685,151.61389,46.66463,106.734146,111.740715
1,2021-07-28 00:52:28,22.69,23.51,1015.0,81.28288,104.26013,61.096176,104.92896,111.03967,149.30206,47.277107,103.520935,104.26013
4,2021-07-28 00:56:44,23.59,23.67,538.0,43.3193,57.51704,29.970512,56.522617,116.28384,143.10355,46.175484,123.1586,57.51849
